evaluation,metric,mean,geometric_mean,median,minimum,maximum,cases
common_combined,latency_speedup,4.679309460743106,3.5538371490871747,3.583333333333333,1.1612903225806452,22.51185185185185,324
common_combined,traffic_reduction,0.3722897719295936,,0.37796312554872696,0.0666666666666666,0.53125,324
common_combined,throughput_improvement,1.9961586473600479,,1.2804076222289706,-0.1823887287864233,7.253750213565693,324
common_4x4,latency_speedup,4.790087589588994,3.6380427457898015,3.588333333333333,1.2,22.51185185185185,162
common_4x4,traffic_reduction,0.3951038748832866,,0.4117647058823529,0.1666666666666666,0.53125,162
common_4x4,throughput_improvement,1.9089080855342007,,1.2165682528655783,-0.1823887287864233,6.874887546587843,162
common_8x8,latency_speedup,4.5685313318972165,3.4715805626110634,2.667,1.1612903225806452,20.162727272727277,162
common_8x8,traffic_reduction,0.34947566897590066,,0.2962962962962963,0.0666666666666666,0.5294117647058824,162
common_8x8,throughput_improvement,2.083409209185895,,1.4538781947589774,0.0024998487994678,7.253750213565693,162
8x8_all_fanouts,latency_speedup,11.331480967459935,6.331347799707541,4.460684931506849,1.1612903225806452,74.904,270
8x8_all_fanouts,traffic_reduction,0.48528955917907896,,0.5079365079365079,0.0666666666666666,0.75390625,270
8x8_all_fanouts,throughput_improvement,6.817701193510404,,3.472419794447509,0.0024998487994678,29.814639148827077,270
