radius,paired_seed_cases,latency_speedup_geomean,latency_speedup_median,hotspot_speedup_geomean,packet64_speedup_geomean,throughput_change_mean,latency_regressions,latency_regressions_over_5pct,pilot_worst_speedup,targeted_worst_speedup
0,96,1.684375471868,1.091550638978,1.017083475925,1.171148014433,0.204717517087,13,0,0.953625866548,0.908978061796
1,96,1.683032251214,1.088113928494,1.016040761214,1.171507460021,0.204811931132,11,0,0.950197246355,0.900147479994
2,96,1.683784605653,1.088113928494,1.015224467895,1.171635233441,0.204809511115,12,0,0.951021405927,0.908978061796
3,96,1.683716680800,1.088113928494,1.014963729432,1.170539176810,0.204859895696,12,0,0.950998823970,0.908978061796
