mode,paired_seed_cases,latency_speedup_geomean,latency_speedup_mean,latency_speedup_median,p95_latency_speedup_geomean,throughput_change_mean,router_traversal_reduction_mean,latency_regressions,latency_regressions_over_5pct,worst_latency_speedup
static,384,1.0677482705340777,1.1989283413339262,1.0273280111701235,1.0718961687806055,0.019246641011009844,0.062299026605409986,133,44,0.1281944349955451
adaptive,384,1.0932738737446732,1.1613046515949141,1.0210553958353499,1.100623682364636,0.008556254977329241,0.03769516270612814,39,0,0.9568237657654282
