design,paired_seed_cases,latency_speedup_geomean,latency_speedup_mean,latency_speedup_median,throughput_change_mean,router_traversal_reduction_mean,wire_traffic_change_mean,latency_regressions
diagonal-distance_scaled,1536,1.1313344298134087,1.7518424207588952,1.0456685754774533,0.09409810667104389,-0.054928469151129033,0.17698067362725725,350
diagonal-optimistic,1536,1.1475590026472888,1.7778712771833083,1.0639640803157526,0.09442907814616382,-0.05525447273072167,0.17738293979549447,164
stride-distance_scaled,1536,0.9985160321989122,1.1206227082751392,1.0405881414529046,0.027203876074001845,0.11350148027512946,0.0889118322060422,539
stride-optimistic,1536,1.0241519779074881,1.150504587939696,1.0641867709508366,0.028108576617631664,0.11261608181409784,0.08995869036668884,321
