topology,scope,group_size,latency_speedup_mean,latency_speedup_min,latency_speedup_max,traffic_reduction_mean,traffic_reduction_min,traffic_reduction_max,throughput_improvement_mean,throughput_improvement_min,throughput_improvement_max,cases,negative_throughput_cases
4x4,common,4,1.8581906317404977,1.2,3.2325925925925927,0.26190476190476186,0.1666666666666666,0.3333333333333333,0.343844073812853,-0.1823887287864233,1.4803975145222337,54,10
4x4,common,8,4.351034111128071,2.25,12.04,0.39215686274509803,0.3529411764705882,0.4117647058823529,1.5486855047220502,0.0075261911451851,3.438733746242168,54,0
4x4,common,16,8.161038025898412,3.583333333333333,22.51185185185185,0.53125,0.53125,0.53125,3.834194678067698,0.6119513213242143,6.874887546587843,54,0
8x8,common,4,1.940974991608111,1.1612903225806452,5.517931034482759,0.2912854030501089,0.0666666666666666,0.5294117647058824,0.4456506295298302,0.0024998487994678,1.470719328990954,54,0
8x8,common,8,4.1096348029700085,1.8333333333333333,11.422758620689654,0.29204274302313515,0.2857142857142857,0.2962962962962963,1.6544651167593702,0.0075085049419247,3.421959134833294,54,0
8x8,common,16,7.654984201113532,2.611111111111111,20.162727272727277,0.4650988608544579,0.4029850746268657,0.5079365079365079,4.150111881268485,0.7081911262798635,7.253750213565693,54,0
8x8,scaleout,32,14.38505476547491,4.15,37.91171428571428,0.6241145389676925,0.6044776119402986,0.6370967741935484,8.955358084158453,2.2094486167276464,14.916374230285372,54,0
8x8,scaleout,64,28.56675607613312,7.35,74.904,0.75390625,0.75390625,0.75390625,18.882920255835888,5.409434687860531,29.814639148827077,54,0
