policy,paired_seed_cases,latency_speedup_geomean,latency_speedup_median,packet64_speedup_geomean,hotspot_speedup_geomean,throughput_change_mean,latency_regressions,latency_regressions_over_5pct,worst_latency_speedup
committed_baseline,96,1.6124333749482054,1.0381931449522663,1.0,0.9882833864793679,0.17478360769967208,15,1,0.7869167812266543
true_next_credits_v1,96,1.8272887117788292,1.0994740677150165,1.1793071697494708,1.0004555261992134,0.2222003851496707,21,4,0.7985545189016391
dual_lookahead_v2,96,1.673123708421465,1.0949780820096242,1.1704974000066848,1.0168970049573678,0.20060455963894278,18,2,0.8374765397051611
pressure_aware_v3,96,1.6843754718677468,1.091550638977607,1.1711480144328938,1.0170834759247547,0.20471751708657027,13,0,0.9536258665480545
